Frame,Timestamp,TrackID,Role,AOI,x1,y1,x2,y2
6126,245.4841,72,Target,Head,609,281,730,403
6126,245.4841,72,Target,Body,583,284,762,705
6126,245.4841,72,Target,Feet,615,631,775,737
6126,245.4841,72,Target,Peripersonal,560,254,785,756
6126,245.4841,75,Confederate_2,FullBody,1366,441,1535,785
6127,245.5242,72,Target,Head,589,274,709,395
6127,245.5242,72,Target,Body,561,278,742,702
6127,245.5242,72,Target,Feet,596,628,755,735
6127,245.5242,72,Target,Peripersonal,538,246,766,756
6127,245.5242,75,Confederate_2,FullBody,1344,431,1511,782
6128,245.5642,72,Target,Head,564,272,686,394
6128,245.5642,72,Target,Body,538,274,721,703
6128,245.5642,72,Target,Feet,576,628,736,736
6128,245.5642,72,Target,Peripersonal,513,243,745,757
6128,245.5642,75,Confederate_2,FullBody,1322,427,1483,758
6129,245.6043,72,Target,Head,551,268,672,389
6129,245.6043,72,Target,Body,527,269,711,700
6129,245.6043,72,Target,Feet,571,626,729,732
6129,245.6043,72,Target,Peripersonal,500,239,740,754
6129,245.6043,75,Confederate_2,FullBody,1314,421,1473,748
6130,245.6444,72,Target,Head,555,266,675,388
6130,245.6444,72,Target,Body,533,267,716,700
6130,245.6444,72,Target,Feet,575,623,737,733
6130,245.6444,72,Target,Peripersonal,506,236,749,755
6130,245.6444,75,Confederate_2,FullBody,1318,422,1480,749
6131,245.6845,72,Target,Head,559,266,679,389
6131,245.6845,72,Target,Body,537,269,719,701
6131,245.6845,72,Target,Feet,578,624,738,732
6131,245.6845,72,Target,Peripersonal,511,237,749,754
6131,245.6845,75,Confederate_2,FullBody,1327,424,1484,751
6131,245.6845,60,Confederate_1,FullBody,1104,404,1211,545
6132,245.7245,72,Target,Head,554,267,678,390
6132,245.7245,72,Target,Body,532,270,716,702
6132,245.7245,72,Target,Feet,570,627,732,733
6132,245.7245,72,Target,Peripersonal,507,238,742,755
6132,245.7245,75,Confederate_2,FullBody,1320,427,1477,758
6132,245.7245,60,Confederate_1,FullBody,1094,408,1204,550
6133,245.7646,72,Target,Head,544,269,669,392
6133,245.7646,72,Target,Body,522,273,706,704
6133,245.7646,72,Target,Feet,563,630,723,737
6133,245.7646,72,Target,Peripersonal,496,240,733,760
6133,245.7646,75,Confederate_2,FullBody,1315,431,1469,761
6133,245.7646,76,3,FullBody,1299,411,1415,586
6134,245.8047,72,Target,Head,537,273,662,396
6134,245.8047,72,Target,Body,515,276,700,709
6134,245.8047,72,Target,Feet,558,633,719,741
6134,245.8047,72,Target,Peripersonal,488,243,731,764
6134,245.8047,75,Confederate_2,FullBody,1309,433,1461,760
6135,245.8447,72,Target,Head,535,274,660,398
6135,245.8447,72,Target,Body,514,278,699,710
6135,245.8447,72,Target,Feet,556,634,718,743
6135,245.8447,72,Target,Peripersonal,487,244,730,766
6135,245.8447,75,Confederate_2,FullBody,1305,434,1460,763
6136,245.8848,72,Target,Head,536,273,661,397
6136,245.8848,72,Target,Body,515,277,701,709
6136,245.8848,72,Target,Feet,557,634,719,741
6136,245.8848,72,Target,Peripersonal,488,244,730,764
6136,245.8848,75,Confederate_2,FullBody,1304,436,1461,765
6137,245.9249,72,Target,Head,536,273,661,397
6137,245.9249,72,Target,Body,515,277,700,708
6137,245.9249,72,Target,Feet,555,633,716,741
6137,245.9249,72,Target,Peripersonal,489,243,727,764
6137,245.9249,75,Confederate_2,FullBody,1300,438,1459,766
6137,245.9249,76,3,FullBody,1294,419,1408,593
6138,245.965,72,Target,Head,532,273,657,396
6138,245.965,72,Target,Body,511,276,695,707
6138,245.965,72,Target,Feet,550,634,711,741
6138,245.965,72,Target,Peripersonal,486,243,720,764
6138,245.965,75,Confederate_2,FullBody,1296,437,1456,761
6139,246.005,72,Target,Head,530,273,655,396
6139,246.005,72,Target,Body,510,276,693,708
6139,246.005,72,Target,Feet,549,634,709,742
6139,246.005,72,Target,Peripersonal,485,243,718,765
6139,246.005,75,Confederate_2,FullBody,1292,437,1452,766
6140,246.0451,72,Target,Head,530,272,655,395
6140,246.0451,72,Target,Body,509,276,693,707
6140,246.0451,72,Target,Feet,548,633,709,739
6140,246.0451,72,Target,Peripersonal,484,243,718,762
6140,246.0451,75,Confederate_2,FullBody,1295,437,1453,766
6141,246.0852,72,Target,Head,532,269,657,391
6141,246.0852,72,Target,Body,513,272,696,705
6141,246.0852,72,Target,Feet,551,630,711,736
6141,246.0852,72,Target,Peripersonal,488,240,720,759
6141,246.0852,75,Confederate_2,FullBody,1294,436,1455,763
6142,246.1252,72,Target,Head,535,269,660,391
6142,246.1252,72,Target,Body,515,274,699,705
6142,246.1252,72,Target,Feet,553,629,714,736
6142,246.1252,72,Target,Peripersonal,490,239,724,759
6142,246.1252,75,Confederate_2,FullBody,1296,437,1458,762
6143,246.1653,72,Target,Head,537,269,663,392
6143,246.1653,72,Target,Body,516,274,701,704
6143,246.1653,72,Target,Feet,555,630,717,736
6143,246.1653,72,Target,Peripersonal,491,240,727,759
6143,246.1653,75,Confederate_2,FullBody,1299,438,1459,765
6144,246.2054,72,Target,Head,539,270,664,393
6144,246.2054,72,Target,Body,519,274,703,703
6144,246.2054,72,Target,Feet,557,631,719,736
6144,246.2054,72,Target,Peripersonal,493,241,728,759
6144,246.2054,75,Confederate_2,FullBody,1303,439,1461,768
6145,246.2455,72,Target,Head,540,271,666,394
6145,246.2455,72,Target,Body,520,275,705,705
6145,246.2455,72,Target,Feet,558,631,720,736
6145,246.2455,72,Target,Peripersonal,494,242,730,758
6145,246.2455,75,Confederate_2,FullBody,1306,438,1463,766
6145,246.2455,76,3,FullBody,1297,418,1413,594
6146,246.2855,72,Target,Head,541,272,667,395
6146,246.2855,72,Target,Body,521,276,705,706
6146,246.2855,72,Target,Feet,560,633,720,738
6146,246.2855,72,Target,Peripersonal,496,243,730,761
6146,246.2855,75,Confederate_2,FullBody,1310,438,1464,767
6146,246.2855,76,3,FullBody,1297,419,1415,595
6147,246.3256,72,Target,Head,543,273,668,397
6147,246.3256,72,Target,Body,523,276,705,706
6147,246.3256,72,Target,Feet,562,633,722,737
6147,246.3256,72,Target,Peripersonal,499,244,731,759
6147,246.3256,75,Confederate_2,FullBody,1314,436,1466,767
6147,246.3256,60,Confederate_1,FullBody,1086,415,1193,555
6148,246.3657,72,Target,Head,545,272,669,396
6148,246.3657,72,Target,Body,527,276,708,705
6148,246.3657,72,Target,Feet,564,633,724,738
6148,246.3657,72,Target,Peripersonal,503,243,732,760
6148,246.3657,75,Confederate_2,FullBody,1309,433,1468,764
6148,246.3657,60,Confederate_1,FullBody,1084,416,1195,554
6149,246.4058,72,Target,Head,545,271,669,394
6149,246.4058,72,Target,Body,526,274,709,705
6149,246.4058,72,Target,Feet,564,632,725,736
6149,246.4058,72,Target,Peripersonal,502,242,733,758
6149,246.4058,75,Confederate_2,FullBody,1312,433,1467,761
6149,246.4058,60,Confederate_1,FullBody,1086,414,1195,554
6150,246.4458,72,Target,Head,546,271,671,394
6150,246.4458,72,Target,Body,527,273,710,707
6150,246.4458,72,Target,Feet,566,632,725,737
6150,246.4458,72,Target,Peripersonal,503,242,735,760
6150,246.4458,75,Confederate_2,FullBody,1313,434,1470,763
6150,246.4458,60,Confederate_1,FullBody,1087,415,1195,554
6151,246.4859,72,Target,Head,550,272,674,396
6151,246.4859,72,Target,Body,532,274,715,707
6151,246.4859,72,Target,Feet,568,631,729,738
6151,246.4859,72,Target,Peripersonal,508,243,739,761
6151,246.4859,75,Confederate_2,FullBody,1314,436,1473,768
6151,246.4859,76,3,FullBody,1307,419,1418,595
6152,246.526,72,Target,Head,555,272,679,398
6152,246.526,72,Target,Body,536,276,718,709
6152,246.526,72,Target,Feet,573,632,733,740
6152,246.526,72,Target,Peripersonal,511,243,742,762
6152,246.526,75,Confederate_2,FullBody,1320,436,1478,767
6152,246.526,60,Confederate_1,FullBody,1093,417,1206,553
6153,246.566,72,Target,Head,558,272,682,399
6153,246.566,72,Target,Body,538,279,721,709
6153,246.566,72,Target,Feet,576,631,735,740
6153,246.566,72,Target,Peripersonal,514,244,745,762
6153,246.566,75,Confederate_2,FullBody,1322,435,1480,768
6154,246.6061,72,Target,Head,561,272,685,398
6154,246.6061,72,Target,Body,541,277,724,710
6154,246.6061,72,Target,Feet,579,631,738,739
6154,246.6061,72,Target,Peripersonal,516,243,749,762
6154,246.6061,75,Confederate_2,FullBody,1324,434,1484,768
6155,246.6462,72,Target,Head,565,271,689,398
6155,246.6462,72,Target,Body,545,278,727,709
6155,246.6462,72,Target,Feet,583,632,743,740
6155,246.6462,72,Target,Peripersonal,521,242,752,763
6155,246.6462,75,Confederate_2,FullBody,1331,434,1489,771
6155,246.6462,76,3,FullBody,1321,423,1437,595
6155,246.6462,60,Confederate_1,FullBody,1105,417,1214,558
6156,246.6863,72,Target,Head,570,275,694,400
6156,246.6863,72,Target,Body,550,280,733,712
6156,246.6863,72,Target,Feet,589,636,748,743
6156,246.6863,72,Target,Peripersonal,525,246,757,766
6156,246.6863,75,Confederate_2,FullBody,1332,437,1497,769
