Name	Start	End	Duration	Trial	Condition	Phase
T1_Social Norm_Phase_partenza	245.454	251.426	5.972	1	Social Norm	Phase_partenza
T1_Social Norm_Phase_stop	251.426	256.636	5.21	1	Social Norm	Phase_stop
T1_Social Norm_Phase_fine_face2face	256.636	264.232	7.596	1	Social Norm	Phase_fine_face2face
T1_Social Norm_ITI	264.232	274.232	10.0	1	Social Norm	ITI
T2_Social Norm_Phase_partenza	275.553	281.928	6.375	2	Social Norm	Phase_partenza
T2_Social Norm_Phase_stop	281.928	287.135	5.207	2	Social Norm	Phase_stop
T2_Social Norm_Phase_fine_face2face	287.135	294.758	7.623	2	Social Norm	Phase_fine_face2face
T2_Social Norm_ITI	294.758	304.758	10.0	2	Social Norm	ITI
T3_Social Norm_Phase_partenza	305.856	311.976	6.12	3	Social Norm	Phase_partenza
T3_Social Norm_Phase_stop	311.976	317.182	5.206	3	Social Norm	Phase_stop
T3_Social Norm_Phase_fine_face2face	317.182	324.254	7.072	3	Social Norm	Phase_fine_face2face
T3_Social Norm_ITI	324.254	334.254	10.0	3	Social Norm	ITI
T4_Social Norm_Phase_partenza	335.588	341.691	6.103	4	Social Norm	Phase_partenza
T4_Social Norm_Phase_stop	341.691	346.896	5.205	4	Social Norm	Phase_stop
T4_Social Norm_Phase_fine_face2face	346.896	354.376	7.48	4	Social Norm	Phase_fine_face2face
T4_Social Norm_ITI	354.376	364.376	10.0	4	Social Norm	ITI
T5_Self Centered_Phase_partenza	376.848	382.884	6.036	5	Self Centered	Phase_partenza
T5_Self Centered_Phase_stop	382.884	388.091	5.207	5	Self Centered	Phase_stop
T5_Self Centered_Phase_fine_face2face	388.091	395.471	7.38	5	Self Centered	Phase_fine_face2face
T5_Self Centered_ITI	395.471	405.471	10.0	5	Self Centered	ITI
T6_Self Centered_Phase_partenza	406.332	413.386	7.054	6	Self Centered	Phase_partenza
T6_Self Centered_Phase_stop	413.386	418.59	5.204	6	Self Centered	Phase_stop
T6_Self Centered_Phase_fine_face2face	418.59	426.774	8.184	6	Self Centered	Phase_fine_face2face
T6_Self Centered_ITI	426.774	436.774	10.0	6	Self Centered	ITI
T7_Self Centered_Phase_partenza	438.059	444.179	6.12	7	Self Centered	Phase_partenza
T7_Self Centered_Phase_stop	444.179	449.387	5.208	7	Self Centered	Phase_stop
T7_Self Centered_Phase_fine_face2face	449.387	456.604	7.217	7	Self Centered	Phase_fine_face2face
T7_Self Centered_ITI	456.604	466.604	10.0	7	Self Centered	ITI
T8_Self Centered_Phase_partenza	467.452	473.282	5.83	8	Self Centered	Phase_partenza
T8_Self Centered_Phase_stop	473.282	478.488	5.206	8	Self Centered	Phase_stop
